# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_all
0 4
1 0
2 0
3 0
4 0
100 4
1 0.321144
2 0.326323
3 0.325695
4 0.973162
200 4
1 0.727081
2 0.718179
3 0.725054
4 2.17031
300 4
1 1.09948
2 1.13373
3 1.11694
4 3.35016
400 4
1 1.49063
2 1.5529
3 1.50279
4 4.54632
500 4
1 1.88147
2 1.93253
3 1.95015
4 5.76416
600 4
1 2.31708
2 2.29552
3 2.37858
4 6.99119
700 4
1 2.74197
2 2.7053
3 2.78851
4 8.23578
800 4
1 3.09916
2 3.09273
3 3.13211
4 9.32399
900 4
1 3.48514
2 3.45999
3 3.48381
4 10.4289
1000 4
1 3.92841
2 3.86967
3 3.89161
4 11.6897
1100 4
1 4.28547
2 4.27583
3 4.30267
4 12.864
1200 4
1 4.70641
2 4.70093
3 4.76006
4 14.1674
1300 4
1 5.08785
2 5.08414
3 5.22245
4 15.3944
1400 4
1 5.5257
2 5.52031
3 5.63834
4 16.6843
1500 4
1 5.89796
2 5.97465
3 6.03152
4 17.9041
1600 4
1 6.26193
2 6.3598
3 6.37153
4 18.9933
1700 4
1 6.61661
2 6.76593
3 6.69619
4 20.0787
1800 4
1 6.99386
2 7.25552
3 7.03524
4 21.2846
1900 4
1 7.30593
2 7.67732
3 7.38223
4 22.3655
2000 4
1 7.71001
2 8.01125
3 7.82043
4 23.5417
2100 4
1 8.11206
2 8.46422
3 8.23104
4 24.8073
2200 4
1 8.55427
2 8.83506
3 8.6722
4 26.0615
2300 4
1 8.97178
2 9.11325
3 9.13386
4 27.2189
2400 4
1 9.43181
2 9.49193
3 9.52559
4 28.4493
2500 4
1 9.92284
2 9.78825
3 9.89521
4 29.6063
2600 4
1 10.2874
2 10.0898
3 10.2933
4 30.6706
2700 4
1 10.5864
2 10.4863
3 10.5776
4 31.6502
2800 4
1 10.9903
2 10.9059
3 10.9418
4 32.8381
2900 4
1 11.3428
2 11.406
3 11.2971
4 34.0459
3000 4
1 11.7228
2 11.931
3 11.7185
4 35.3723
3100 4
1 12.0746
2 12.3403
3 12.0879
4 36.5027
3200 4
1 12.5371
