# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_all
0 4
1 0
2 0
3 0
4 0
100 4
1 0.211888
2 0.218202
3 0.218451
4 0.648541
200 4
1 0.741388
2 0.750435
3 0.757159
4 2.24898
300 4
1 1.44687
2 1.47881
3 1.47567
4 4.40135
400 4
1 2.26237
2 2.35528
3 2.30791
4 6.92556
500 4
1 3.1419
2 3.27836
3 3.23197
4 9.65223
600 4
1 4.08627
2 4.19681
3 4.22727
4 12.5104
700 4
1 5.07539
2 5.13478
3 5.24591
4 15.4561
800 4
1 6.03446
2 6.08736
3 6.22328
4 18.3451
900 4
1 6.98025
2 7.04497
3 7.14747
4 21.1727
1000 4
1 7.96485
2 8.01799
3 8.0789
4 24.0617
1100 4
1 8.94855
2 9.00049
3 9.05539
4 27.0044
1200 4
1 9.93525
2 9.99956
3 10.075
4 30.0098
1300 4
1 10.9375
2 10.993
3 11.1433
4 33.0738
1400 4
1 11.9371
2 12.0233
3 12.2175
4 36.1779
1500 4
1 12.9477
2 13.1125
3 13.2841
4 39.3443
1600 4
1 13.9195
2 14.1687
3 14.2637
4 42.3519
1700 4
1 14.8542
2 15.1777
3 15.2133
4 45.2452
1800 4
1 15.8039
2 16.2376
3 16.0989
4 48.1405
1900 4
1 16.6849
2 17.3227
3 16.9816
4 50.9891
2000 4
1 17.6057
2 18.3597
3 17.8881
4 53.8535
2100 4
1 18.5434
2 19.4078
3 18.8482
4 56.7994
2200 4
1 19.5386
2 20.4142
3 19.8464
4 59.7992
2300 4
1 20.5665
2 21.3411
3 20.8935
4 62.8011
2400 4
1 21.6306
2 22.2771
3 21.9409
4 65.8486
2500 4
1 22.7442
2 23.1334
3 22.9616
4 68.8392
2600 4
1 23.831
2 23.9484
3 23.9632
4 71.7426
2700 4
1 24.7811
2 24.7958
3 24.887
4 74.4638
2800 4
1 25.752
2 25.7205
3 25.7834
4 77.2559
2900 4
1 26.7021
2 26.7523
3 26.6595
4 80.1139
3000 4
1 27.6325
2 27.8778
3 27.6003
4 83.1106
3100 4
1 28.5385
2 28.9745
3 28.5668
4 86.0798
3200 4
1 29.5265
2 30.0326
