# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_all
0 4
1 0
2 0
3 0
4 0
100 4
1 0.0181329
2 0.0185635
3 0.0184426
4 0.055139
200 4
1 0.0350511
2 0.0349141
3 0.0352793
4 0.105245
300 4
1 0.0506882
2 0.0525525
3 0.0516731
4 0.154914
400 4
1 0.0670557
2 0.0701744
3 0.067908
4 0.205138
500 4
1 0.0834554
2 0.0860471
3 0.0866238
4 0.256126
600 4
1 0.101678
2 0.101031
3 0.104505
4 0.307214
700 4
1 0.119185
2 0.118127
3 0.121623
4 0.358935
800 4
1 0.133817
2 0.134378
3 0.135816
4 0.404011
900 4
1 0.149892
2 0.149692
3 0.150366
4 0.44995
1000 4
1 0.168324
2 0.166819
3 0.167323
4 0.502466
1100 4
1 0.183256
2 0.183677
3 0.184494
4 0.551427
1200 4
1 0.200858
2 0.201048
3 0.20351
4 0.605416
1300 4
1 0.216865
2 0.21726
3 0.222877
4 0.657003
1400 4
1 0.235111
2 0.235751
3 0.240287
4 0.711149
1500 4
1 0.250504
2 0.254743
3 0.256677
4 0.761924
1600 4
1 0.265367
2 0.270685
3 0.270611
4 0.806664
1700 4
1 0.28019
2 0.287431
3 0.284253
4 0.851874
1800 4
1 0.296129
2 0.307588
3 0.298364
4 0.902082
1900 4
1 0.308917
2 0.325378
3 0.312763
4 0.947058
2000 4
1 0.325963
2 0.339478
3 0.331095
4 0.996536
2100 4
1 0.342503
2 0.358505
3 0.347907
4 1.04891
2200 4
1 0.361044
2 0.373834
3 0.366063
4 1.10094
2300 4
1 0.378473
2 0.385584
3 0.385321
4 1.14938
2400 4
1 0.397733
2 0.40177
3 0.401775
4 1.20128
2500 4
1 0.418209
2 0.413967
3 0.417394
4 1.24957
2600 4
1 0.433378
2 0.426374
3 0.43389
4 1.29364
2700 4
1 0.445823
2 0.442685
3 0.44593
4 1.33444
2800 4
1 0.46289
2 0.460259
3 0.460978
4 1.38413
2900 4
1 0.477561
2 0.481047
3 0.475862
4 1.43447
3000 4
1 0.49335
2 0.502608
3 0.493481
4 1.48944
3100 4
1 0.508136
2 0.519508
3 0.508854
4 1.5365
