# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_all
0 4
1 0
2 0
3 0
4 0
100 4
1 0.562001
2 0.571066
3 0.569967
4 1.70303
200 4
1 1.27239
2 1.25681
3 1.26884
4 3.79805
300 4
1 1.9241
2 1.98403
3 1.95465
4 5.86278
400 4
1 2.6086
2 2.71757
3 2.62989
4 7.95606
500 4
1 3.29258
2 3.38193
3 3.41277
4 10.0873
600 4
1 4.05489
2 4.01717
3 4.16252
4 12.2346
700 4
1 4.79844
2 4.73427
3 4.8799
4 14.4126
800 4
1 5.42353
2 5.41227
3 5.48119
4 16.317
900 4
1 6.09899
2 6.05498
3 6.09666
4 18.2506
1000 4
1 6.87471
2 6.77191
3 6.81033
4 20.457
1100 4
1 7.49958
2 7.4827
3 7.52968
4 22.512
1200 4
1 8.23622
2 8.22664
3 8.33011
4 24.793
1300 4
1 8.90374
2 8.89724
3 9.13929
4 26.9403
1400 4
1 9.66997
2 9.66055
3 9.8671
4 29.1976
1500 4
1 10.3214
2 10.4556
3 10.5552
4 31.3322
1600 4
1 10.9584
2 11.1297
3 11.1502
4 33.2382
1700 4
1 11.5791
2 11.8404
3 11.7183
4 35.1378
1800 4
1 12.2392
2 12.6972
3 12.3117
4 37.2481
1900 4
1 12.7854
2 13.4353
3 12.9189
4 39.1396
2000 4
1 13.4925
2 14.0197
3 13.6858
4 41.198
2100 4
1 14.1961
2 14.8124
3 14.4043
4 43.4128
2200 4
1 14.97
2 15.4614
3 15.1764
4 45.6077
2300 4
1 15.7006
2 15.9482
3 15.9843
4 47.6331
2400 4
1 16.5057
2 16.6109
3 16.6698
4 49.7863
2500 4
1 17.365
2 17.1294
3 17.3166
4 51.811
2600 4
1 18.003
2 17.6572
3 18.0133
4 53.6735
2700 4
1 18.5262
2 18.3509
3 18.5108
4 55.3879
2800 4
1 19.233
2 19.0854
3 19.1482
4 57.4666
2900 4
1 19.8499
2 19.9605
3 19.77
4 59.5804
3000 4
1 20.5149
2 20.8793
3 20.5074
4 61.9016
3100 4
1 21.1305
2 21.5955
3 21.1538
4 63.8797
3200 4
1 21.94
2 22.3524
3 21.8727
