# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
0 0
100 734.486
200 758.475
300 784.906
400 763.868
500 755.888
600 711.68
700 747.239
800 750.671
900 725.657
1000 746.765
1100 732.159
1200 752.453
1300 712.31
1400 770.946
1500 785.912
1600 755.827
1700 735.115
1800 730.161
1900 757.745
2000 761.875
2100 772.605
2200 763.017
2300 764.909
2400 770.446
2500 736.537
2600 743.332
2700 753.812
2800 762.054
2900 748.5
3000 756.498
3100 743.546
3200 742.556
3300 772.599
3400 744.943
3500 780.24
3600 708.303
3700 738.604
3800 764.335
3900 744.774
4000 733.5
4100 736.562
4200 760.297
4300 738.28
4400 733.34
4500 747.949
4600 748.132
4700 747.682
4800 753.354
4900 745.861
5000 716.454
5100 763.736
5200 786.752
5300 762.85
5400 753.34
5500 758.12
5600 756.851
5700 754.812
5800 728.868
5900 753.068
6000 725.446
6100 723.663
6200 738.461
6300 746.951
6400 762.535
6500 774.315
6600 777.94
6700 738.191
6800 744.503
6900 743.16
7000 753.613
7100 739.331
7200 730.59
7300 776.179
7400 785.628
7500 781.003
7600 745.023
7700 744.464
7800 740.743
7900 778.306
8000 742.617
8100 774.839
8200 730.905
8300 770.769
8400 788.396
8500 777.616
8600 741.931
8700 756.58
8800 772.944
8900 767.284
9000 764.424
9100 769.74
9200 740.459
9300 757.771
9400 757.916
9500 736.364
9600 735.462
9700 792.967
9800 741.648
9900 757.373
10000 749.164
10100 778.586
10200 730.75
10300 730.293
10400 757.974
10500 762.324
10600 707.696
10700 733.574
10800 731.991
10900 738.33
11000 751.64
11100 754.952
11200 741.887
11300 742.938
11400 769.394
11500 764.825
11600 738.31
11700 735.653
11800 739.588
11900 759.856
12000 769.505
12100 726.222
12200 730.966
12300 761.241
12400 771.574
12500 752.088
12600 719.639
12700 730.626
12800 800.299
12900 760.098
13000 757.918
13100 758.079
13200 748.877
13300 740.062
13400 733.51
13500 717.613
13600 766.775
13700 758.056
13800 763.052
13900 759.932
14000 732.299
14100 754.538
14200 786.942
14300 758.765
14400 760.744
14500 757.062
14600 767.665
14700 772.703
14800 742.263
14900 749.662
15000 749.135
15100 773.294
15200 751.64
15300 764.863
15400 754.24
15500 755.95
15600 745.085
15700 768.084
15800 740.375
15900 775.653
16000 726.037
16100 748.332
16200 764.056
16300 742.723
16400 786.726
16500 759.972
16600 748.914
16700 749.219
16800 776.455
16900 753.165
17000 740.569
17100 780.758
17200 746.57
17300 765.878
17400 750.442
17500 754.792
17600 737.9
17700 742.971
17800 726.984
17900 760.875
18000 777.898
18100 736.357
18200 746.312
18300 765.863
18400 738.642
18500 746.18
18600 763.554
18700 743.305
18800 752.479
18900 779.307
19000 725.698
19100 771.915
19200 762.936
19300 765.644
19400 751.356
19500 742.755
19600 741.489
19700 756.513
19800 737.241
19900 739.468
20000 744.183
20100 731.943
20200 777.162
20300 713.07
20400 757.747
20500 775.641
20600 701.862
20700 737.894
20800 774.324
20900 796.721
21000 755.56
21100 755.54
21200 771.613
21300 723.778
21400 756.746
21500 778.843
21600 751.227
21700 759.079
21800 745.067
21900 765.695
22000 755.203
22100 777.799
22200 747.845
22300 784.393
22400 773.049
22500 767.999
22600 759.533
22700 782.444
22800 746.254
22900 776.568
23000 789.208
23100 729.823
23200 758.68
23300 731.721
23400 744.678
23500 743.089
23600 773.716
23700 772.082
23800 743.081
23900 769.928
24000 733.283
24100 754.828
24200 734.785
24300 758.268
24400 792.532
24500 764.93
24600 774.086
24700 745.037
24800 746.795
24900 754.328
25000 721.909
25100 750.678
25200 781.108
25300 796.879
25400 724.151
25500 787.465
25600 715.621
25700 808.859
25800 765.153
25900 767.725
26000 762.064
26100 756.597
26200 758.902
26300 704.58
26400 755.763
26500 733.477
26600 749.842
26700 769.992
26800 798.061
26900 756.849
27000 741.395
27100 745.435
27200 762.973
27300 718.766
27400 764.504
27500 720.028
27600 742.254
27700 753.811
27800 714.913
27900 782.877
28000 771.687
28100 745.53
28200 754.356
28300 753.341
28400 773.821
28500 752.237
28600 770.266
28700 740.576
28800 763.229
28900 765.486
29000 750.429
29100 764.646
29200 772.28
29300 749.921
29400 718.99
29500 756.368
29600 792.22
29700 770.142
29800 803.471
29900 764.042
30000 789.997
30100 751.85
30200 783.334
30300 739.469
30400 747.388
30500 773.117
30600 778.637
30700 751.253
30800 748.055
30900 757.373
31000 770.555
31100 745.647
31200 714.688
31300 733.724
31400 756.184
31500 761.894
31600 747.129
31700 775.066
31800 763.449
31900 747.297
32000 727.137
32100 749
32200 765.117
32300 760.609
32400 749.721
32500 745.323
32600 731.173
32700 740.995
32800 766.212
32900 784.211
33000 733.426
33100 764.849
33200 712.644
33300 730.196
33400 750.865
33500 746.398
33600 769.661
33700 736.629
33800 795.572
33900 766.465
34000 755.992
34100 753.723
34200 741.396
34300 732.767
34400 729.35
34500 768.86
34600 750.745
34700 742.877
34800 780.266
34900 745.259
35000 753.498
35100 783.867
35200 762.671
35300 770.598
35400 726.663
35500 749.915
35600 714.59
35700 758.637
35800 728.143
35900 747.09
36000 784.558
36100 739.871
36200 762.501
36300 746.386
36400 773.045
36500 748.239
36600 768.615
36700 765.03
36800 772.381
36900 734.645
37000 768.024
37100 757.651
37200 763.017
37300 729.799
37400 770.798
37500 746.77
37600 714.996
37700 718.913
37800 704.643
37900 774.632
38000 743.322
38100 747.666
38200 750.94
38300 793.349
38400 779.547
38500 769.325
38600 741.218
38700 732.472
38800 748.126
38900 770.64
39000 753.812
39100 751.492
39200 754.604
39300 741.7
39400 716.846
39500 747.106
39600 750.919
39700 779.778
39800 769.983
39900 748.767
40000 756.845
40100 743.017
40200 743.973
40300 766.375
40400 749.577
40500 736.844
40600 775.343
40700 758.175
40800 776.68
40900 742.039
41000 759.401
41100 765.119
41200 750.35
41300 774.821
41400 769.742
41500 773.718
41600 739.442
41700 737.681
41800 779.598
41900 770.991
42000 760.397
42100 734.032
42200 747.046
42300 791.234
42400 751.755
42500 750.735
42600 748.119
42700 752.611
42800 748.185
42900 752.92
43000 793.35
43100 723.791
43200 753.946
43300 744.155
43400 773.597
43500 779.021
43600 751.422
43700 754.919
43800 754.855
43900 746.745
44000 757.265
44100 769.941
44200 746.587
44300 774.551
44400 712.264
44500 790.275
44600 766.26
44700 737.15
44800 752.491
44900 748.293
45000 756.696
45100 784.842
45200 744.97
45300 726.556
45400 770.501
45500 731.257
45600 751.759
45700 743.99
45800 747.119
45900 783.728
