# Time-averaged data for fix pxy_ave
# TimeStep v_pxy
1001000 -0.0137333
1002000 -0.0362916
1003000 -0.0538216
1004000 -0.0460469
1005000 -0.0457528
1006000 -0.0424864
1007000 -0.0122843
1008000 -0.0463258
1009000 -0.0381208
1010000 -0.00192604
1011000 -0.0162201
1012000 -0.00832088
1013000 -0.000144724
1014000 -0.0265281
1015000 -0.0166349
1016000 -0.00690392
1017000 0.0137762
1018000 -0.0196502
1019000 -0.0262307
1020000 -0.0267118
1021000 -0.0162011
1022000 -0.0259143
1023000 -0.0544809
1024000 -0.0139715
1025000 -0.0137862
1026000 -0.0238973
1027000 -0.0136512
1028000 -0.0265553
1029000 -0.0231008
1030000 -0.0322042
1031000 -0.0548817
1032000 -0.0409818
1033000 -0.0321231
1034000 -0.0596363
1035000 -0.052822
1036000 -0.054522
1037000 -0.0465633
1038000 -0.0137329
1039000 -0.04294
1040000 -0.0421707
1041000 -0.0475551
1042000 -0.0393501
1043000 -0.0405625
1044000 0.0102569
1045000 -0.00999225
1046000 -0.0684647
1047000 -0.0420725
1048000 -0.0167105
1049000 -0.0131611
1050000 -0.0423369
1051000 -0.00347191
1052000 0.00697905
1053000 0.000237005
1054000 -0.0237574
1055000 -0.0532925
1056000 -0.0434543
1057000 -0.0511959
1058000 -0.0477505
1059000 0.000478344
1060000 -7.59762e-05
1061000 -0.013134
1062000 -0.0126794
1063000 -0.0134724
1064000 -0.034609
1065000 -0.0385846
1066000 -0.0359586
1067000 -0.0235272
1068000 -0.0551029
1069000 -0.0130218
1070000 -0.0326367
1071000 -0.0364867
1072000 -0.00209345
1073000 0.000655136
1074000 -0.0218365
1075000 -0.0303558
1076000 -0.0383633
1077000 -0.0308543
1078000 -0.0621977
1079000 -0.0427755
1080000 -0.0497887
1081000 -0.0188005
1082000 -0.0279861
1083000 -0.0109113
1084000 -0.0147731
1085000 -0.0241811
1086000 -0.0369706
1087000 -0.0552988
1088000 -0.0450118
1089000 -0.037274
1090000 -0.0761977
1091000 -0.0473287
1092000 -0.0144769
1093000 -0.0306767
1094000 -0.018635
1095000 -0.0392914
1096000 -0.0119164
1097000 -0.0237564
1098000 -0.0592028
1099000 -0.0361049
1100000 -0.0193768
