# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_chunkvel[1] c_chunkvel[2] c_chunkvel[3]
1001000 20
1 0 0 0
2 0.23424 2.44213 -0.358566
3 0.0324938 -0.0276536 -0.224114
4 0.0943383 0.212002 -0.0328798
5 0.0279708 0.293286 0.00266989
6 -0.121707 0.488116 0.0865508
7 0.0825949 0.642336 0.165293
8 0.0921227 0.832598 -0.03237
9 0.00105883 0.885395 0.00408496
10 0.0842304 1.24974 -0.00932574
11 -0.0325986 1.41579 0.023825
12 0.0518726 1.71938 -0.161819
13 0.0362415 2.21389 0.0698677
14 -0.0261939 2.3883 -0.0504662
15 0.123162 2.99034 0.00287365
16 0.102369 3.73242 -0.014003
17 0.00635864 4.36344 0.0257566
18 0.0213594 4.58752 0.109085
19 -0.28875 4.06172 -0.363429
20 0 0 0
1002000 20
1 0 0 0
2 -1.32675 2.39135 0.813157
3 -0.00757093 0.0826457 -0.184769
4 -0.0199325 0.243855 -0.0244963
5 -0.0365459 0.276074 0.0448955
6 -0.120211 0.448502 0.0281957
7 0.122922 0.694976 0.0764537
8 0.0357509 0.849016 0.052354
9 0.0546223 0.87391 0.0996202
10 0.0927313 1.24016 -0.100712
11 0.0362735 1.3798 0.136111
12 -0.0479718 1.76228 -0.0892811
13 0.0232375 2.1487 0.163981
14 0.0164637 2.45542 0.0300529
15 0.041502 3.00524 -0.0613284
16 0.0528851 3.65891 0.112374
17 -0.174143 4.36736 0.0512168
18 -0.00808098 4.64018 0.0284
19 -0.209979 3.88879 -0.0150183
20 0 0 0
1003000 20
1 0 0 0
2 -1.05663 0.281825 0.442192
3 0.000598878 0.161511 -0.0847221
4 -0.109073 0.278662 -0.156946
5 -0.0446068 0.223696 0.0538709
6 -0.138948 0.471443 -0.016269
7 0.0526539 0.737478 0.0811359
8 0.00767351 0.825568 0.0449802
9 0.0227422 0.8587 0.193477
10 0.0215632 1.2076 -0.0354404
11 0.0258934 1.42874 0.2068
12 -0.119734 1.7601 -0.021818
13 0.0546287 2.1244 0.0376567
14 -0.0866557 2.44673 0.0417548
15 -0.00515331 3.05768 -0.0882615
16 -0.016908 3.61305 0.159225
17 -0.0448117 4.42014 -0.0550192
18 -0.0360526 4.61717 0.0242562
19 -0.922904 5.32997 -0.0755024
20 0 0 0
1004000 20
1 0 0 0
2 0.199411 -1.83934 -0.314357
3 -0.067221 0.0761476 -0.0153694
4 -0.091326 0.351193 -0.167814
5 -0.0614955 0.183175 0.0855519
6 0.0141203 0.503065 -0.0104233
7 -0.0169468 0.740221 0.0100881
8 0.00706149 0.771047 0.131543
9 0.00357564 0.880801 0.0603568
10 -0.122717 1.23754 0.0117373
11 0.0811604 1.45302 0.128041
12 0.0150748 1.77225 -0.0218347
13 -0.0630964 2.08336 0.178542
14 0.0303126 2.46456 0.0716244
15 -0.0509542 3.13976 0.0616882
16 0.012757 3.53564 -0.00650071
17 -0.0115909 4.48458 -0.0409622
18 -0.0435717 4.58987 -0.0168659
19 0.468946 5.4489 0.0800414
20 0 0 0
1005000 20
1 0 0 0
2 0.291681 -1.90721 -2.16649
3 0.0172505 0.0505108 0.107007
4 -0.0658609 0.353733 -0.122911
5 0.0578375 0.212118 0.0673852
6 0.00179365 0.483127 0.0125448
7 -0.0117167 0.730528 0.0303072
8 0.000415167 0.767275 0.00590805
9 -0.0407194 0.882967 0.00691865
10 -0.0482005 1.25988 -0.0309416
11 -0.106022 1.45357 -0.0353949
12 0.0888517 1.78512 0.023386
13 0.0356413 2.06665 0.168869
14 -0.0670113 2.4818 0.0518142
15 -0.151029 3.08075 0.0989029
16 -0.11158 3.57057 -0.0110912
17 -0.0758429 4.47995 -0.122006
18 -0.0792259 4.69055 0.00420237
19 0.372816 6.37539 -0.367048
20 0 0 0
1006000 20
1 0 0 0
2 -0.0937317 -2.07668 -0.870475
3 -0.1023 0.0115777 0.115745
4 0.018255 0.377773 0.0140505
5 0.098779 0.199799 -0.0425868
6 -0.00642335 0.531652 0.0932931
7 0.0114854 0.660651 0.0726281
8 -0.00615496 0.795173 0.0395871
9 -0.0244084 0.890023 -0.0894416
10 0.0912422 1.26043 -0.0329862
11 -0.10195 1.49628 0.0107076
12 0.0540936 1.75347 0.00151094
13 -0.0124597 2.04646 0.0540758
14 -0.0758537 2.4785 -0.0235935
15 -0.121235 3.1423 -0.0188835
16 -0.115918 3.60038 -0.0800723
17 -0.0215785 4.42225 -0.161996
18 -0.201794 4.76734 -0.0383593
19 0.426567 6.04144 1.35324
20 0 0 0
1007000 20
1 0 0 0
2 0.226295 -2.33237 1.1128
3 0.0335171 0.0914436 0.153782
4 0.0558569 0.335757 0.114851
5 -0.00763354 0.155085 0.0320498
6 0.0165455 0.590328 -0.0110309
7 -0.0374778 0.584545 0.0308682
8 -0.0250262 0.854313 0.0293486
9 0.0974724 0.872102 0.0665915
10 0.0848623 1.28107 0.0540643
11 0.00222553 1.45817 0.0130889
12 -0.130412 1.76904 0.0719019
13 -0.033724 2.07747 -0.0602746
14 0.0172522 2.44126 -0.00823793
15 -0.0186117 3.0946 -0.0500972
16 -0.130195 3.64458 -0.054108
17 0.067137 4.42789 -0.0478025
18 0.0153264 4.67628 -0.0137265
19 0.734826 4.63437 -0.21925
20 0 0 0
1008000 20
1 0 0 0
2 0.0358083 -2.30517 0.748065
3 0.172392 0.137292 0.0250604
4 0.0231343 0.292423 0.12661
5 -0.0203274 0.181188 0.0108261
6 0.1136 0.636367 0.0264316
7 -0.0439449 0.55297 0.0931301
8 0.0430227 0.875622 0.0193567
9 0.102665 0.864648 0.0689423
10 0.168438 1.28723 -0.0591207
11 -0.0219138 1.44643 0.12375
12 -0.1105 1.75735 0.0494336
13 -0.0446187 2.11141 -0.0485209
14 -0.0394335 2.43305 0.0285927
15 0.0509876 3.09239 0.0498912
16 0.0265608 3.6524 -0.0337268
17 0.146482 4.37431 0.0170955
18 0.0967068 4.57519 -0.0911659
19 -0.307534 3.42029 0.0225116
20 0 0 0
1009000 20
1 0 0 0
2 0.414262 -2.26083 0.595899
3 0.0401569 0.0637424 -0.00861877
4 -0.0181878 0.33703 0.0187378
5 0.00329823 0.175647 0.0441006
6 0.0998676 0.617035 0.0680771
7 0.0179269 0.605295 0.0959842
8 0.00684951 0.830803 0.0291145
9 0.0273059 0.872924 -0.0101515
10 0.041801 1.32292 -0.0591697
11 -0.051644 1.39467 -0.00175681
12 -0.0781881 1.78313 -0.0319435
13 -0.0326666 2.0928 -0.0325829
14 0.0241787 2.4799 0.0463231
15 -0.0100693 3.07704 -0.0784289
16 -0.0280502 3.64257 -0.193739
17 0.160962 4.39871 -0.122707
18 -0.064177 4.43331 -0.00365864
19 -1.33359 4.08906 -0.408101
20 0 0 0
1010000 20
1 0 0 0
2 1.23161 -1.82469 0.185821
3 -0.10411 0.0594273 -0.0492425
4 0.00621217 0.33693 -0.0203525
5 -0.0940209 0.177322 -0.0280301
6 0.167227 0.544483 0.097878
7 -0.0288198 0.6659 0.0609502
8 -0.0204739 0.810012 -0.0332105
9 0.0752783 0.88454 0.080839
10 0.00533907 1.35611 -0.08287
11 0.0629169 1.34497 0.0458443
12 -0.101406 1.83986 -0.0439981
13 0.0357331 2.08315 0.0314038
14 0.144623 2.46908 0.0995567
15 -0.0407946 3.07173 -0.115506
16 0.113964 3.6558 -0.0604863
17 -0.0346564 4.4089 -0.0716986
18 -0.0053535 4.44778 0.0230465
19 -0.265273 4.43317 0.0418705
20 0 0 0
1011000 20
1 0 0 0
2 1.00399 1.12861 -0.418674
3 -0.024241 0.148941 0.116021
4 -0.0847267 0.254804 -0.0355329
5 0.00189618 0.20886 -0.0834074
6 -0.0108772 0.518764 0.0587214
7 -0.0204142 0.721023 0.0723125
8 0.0621175 0.813626 -0.0909318
9 0.106565 0.90144 -0.00344868
10 -0.0473725 1.24782 0.0326003
11 -0.058566 1.35715 0.101325
12 -0.0324782 1.89021 -0.120771
13 0.0195399 2.07283 0.0155297
14 0.149256 2.49274 -0.119166
15 0.00908363 3.05301 -0.0166579
16 0.131404 3.68614 -0.0655098
17 -0.0649817 4.39229 -0.100962
18 -0.0741394 4.58794 0.00969911
19 0.437067 5.27892 0.0696467
20 0 0 0
1012000 20
1 0 0 0
2 -0.712751 2.00275 -0.814377
3 -0.0296611 0.125036 0.177988
4 -0.0912411 0.279426 -0.0859543
5 -0.127808 0.204747 -0.0424159
6 -0.014878 0.519734 0.042395
7 0.0186892 0.7191 0.0758157
8 0.0875387 0.856547 -0.131301
9 0.0107646 0.888781 0.0961337
10 -0.0487337 1.16129 0.0907368
11 -0.0193527 1.41601 -0.00345635
12 0.0224527 1.85674 -0.166899
13 0.0538689 2.10949 0.00248351
14 0.0621159 2.48537 -0.00908965
15 0.076672 2.97497 -0.0250602
16 0.122677 3.8028 0.044027
17 -0.0522197 4.38575 -0.0712015
18 -0.0292922 4.56174 0.0513061
19 -0.258879 5.27615 0.129505
20 0 0 0
1013000 20
1 0 0 0
2 -1.08278 2.02675 -0.540199
3 -0.201846 -0.038332 -0.000953774
4 0.0514245 0.279995 -0.019907
5 -0.0457695 0.240799 -0.0626366
6 0.133815 0.504744 0.0547857
7 -0.0990399 0.699337 0.0929274
8 0.0629349 0.897334 -0.0295407
9 0.00340857 0.826328 -0.0614435
10 -0.100987 1.18337 0.116154
11 -0.033276 1.45731 -0.0406829
12 -0.0419987 1.79769 -0.11451
13 0.0046612 2.16353 -0.0820346
14 0.108818 2.41509 -0.0427209
15 0.0895194 3.0051 -0.108781
16 0.108318 3.77537 0.121484
17 0.0598582 4.40616 0.00974167
18 0.00382709 4.56611 0.00795806
19 0.67136 4.84161 -0.428335
20 0 0 0
1014000 20
1 0 0 0
2 -0.93047 2.09663 0.508943
3 0.0983065 -0.127468 0.0344978
4 -0.0120616 0.20798 0.0454085
5 0.0301734 0.283481 -0.015878
6 0.0051531 0.482523 0.0394167
7 -0.0212925 0.713178 0.0628905
8 0.0351866 0.879261 -0.130179
9 0.0321084 0.822779 -0.11367
10 -0.105813 1.17427 -0.00253549
11 0.0175296 1.43306 -0.00215642
12 -0.0275884 1.77802 -0.145396
13 -0.0126358 2.22836 -0.0570351
14 0.262789 2.39614 -0.0792943
15 0.00570976 3.05258 -0.0952726
16 -0.0465537 3.69966 0.0238881
17 -0.0397999 4.38726 0.0533575
18 -0.0507525 4.53864 -0.161674
19 0.862987 4.7108 -0.011755
20 0 0 0
1015000 20
1 0 0 0
2 0.306217 2.10186 0.622104
3 0.141263 -0.112004 0.121376
4 0.127849 0.163431 -0.0513069
5 0.0160966 0.287668 -0.0248096
6 -0.0464703 0.483093 0.0431844
7 0.0359548 0.732188 0.0466584
8 0.0718579 0.798345 0.00145681
9 0.0101417 0.916833 0.0157923
10 -0.0153288 1.1461 -0.0253148
11 0.0544914 1.41687 0.0842829
12 -0.00522251 1.79163 -0.0929249
13 0.0196787 2.21212 0.0452955
14 0.148221 2.46938 -0.0495463
15 0.00778766 3.00987 -0.0815592
16 -0.0381397 3.73171 0.00620979
17 -0.0428718 4.23921 0.114767
18 -0.139734 4.63435 0.0159335
19 -0.288094 4.94711 -0.135125
20 0 0 0
1016000 20
1 0 0 0
2 -0.149353 2.07791 0.738355
3 -0.0308557 -0.163381 -0.111518
4 -0.0117125 0.159704 -0.00610323
5 0.014488 0.250558 0.0438596
