# Chunk-averaged data for fix velo and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
101000 20 5324.000000000001
  1 0.025 272.68 -0.00807407
  2 0.075 261.24 -0.00699617
  3 0.125 268.5 0.0037371
  4 0.175 267.8 0.0484888
  5 0.225 270.92 0.0509692
  6 0.275 268.34 0.0564544
  7 0.325 263.96 0.0477054
  8 0.375 267.62 0.0424023
  9 0.425 272.48 0.0218452
  10 0.475 263.2 0.00878729
  11 0.525 266.54 0.0239054
  12 0.575 264.22 0.0319311
  13 0.625 259.44 -0.0164265
  14 0.675 262.34 -0.00804362
  15 0.725 267.32 -0.0388124
  16 0.775 268.52 -0.0486204
  17 0.825 262.86 -0.0148583
  18 0.875 264.08 -0.0203009
  19 0.925 265.88 -0.0543666
  20 0.975 266.06 -0.0098383
102000 20 5323.999999999999
  1 0.025 270.34 0.00112145
  2 0.075 269.9 -0.011377
  3 0.125 268.74 0.00278477
  4 0.175 269.22 0.00148938
  5 0.225 270.6 -0.0103268
  6 0.275 267.56 0.0130912
  7 0.325 265.78 -0.0178984
  8 0.375 266.96 -0.0118898
  9 0.425 262.9 0.0165082
  10 0.475 262.48 0.0250608
  11 0.525 265.86 0.0266837
  12 0.575 262.42 0.0553189
  13 0.625 260.78 0.0326367
  14 0.675 263.08 0.0308735
  15 0.725 267.98 -0.00245093
  16 0.775 264.02 -0.0126789
  17 0.825 266.36 -0.0373863
  18 0.875 264.12 0.0274589
  19 0.925 263.9 -0.019058
  20 0.975 271 0.00445436
103000 20 5323.999999999999
  1 0.025 267.5 -0.0298939
  2 0.075 267.38 -0.038898
  3 0.125 262.86 -0.0213372
  4 0.175 269.18 -0.00153288
  5 0.225 268.36 0.0204671
  6 0.275 264.5 0.0286962
  7 0.325 266.6 -0.034769
  8 0.375 262.82 -0.0254618
  9 0.425 265.24 0.0429634
  10 0.475 267.46 0.0177574
  11 0.525 264.52 0.0539172
  12 0.575 263.08 0.0430461
  13 0.625 263.7 0.0647603
  14 0.675 265.24 0.0598792
  15 0.725 264.64 0.013648
  16 0.775 267.26 -0.0170617
  17 0.825 268.98 -0.0482845
  18 0.875 269.04 -0.00227763
  19 0.925 266.28 -0.0205831
  20 0.975 269.36 0.00899802
104000 20 5324
  1 0.025 265.52 -0.0571622
  2 0.075 272.88 -0.0282706
  3 0.125 270.46 -0.0267192
  4 0.175 263.92 -0.000479792
  5 0.225 266.18 0.0366035
  6 0.275 270.72 0.0458347
  7 0.325 261.38 -0.00956614
  8 0.375 261.88 -0.0111803
  9 0.425 264.42 0.0204397
  10 0.475 268.54 0.0477052
  11 0.525 266.6 0.0881798
  12 0.575 263.52 0.0817321
  13 0.625 265.66 0.0578646
  14 0.675 264.02 0.0311179
  15 0.725 267.68 -0.00192157
  16 0.775 268.3 -0.0459537
  17 0.825 266.06 -0.0196136
  18 0.875 263.18 -0.0205159
  19 0.925 264.56 -0.0326202
  20 0.975 268.52 -0.0426332
105000 20 5323.999999999999
  1 0.025 266.76 -0.0573241
  2 0.075 269.94 -0.00320442
  3 0.125 267.48 0.0271301
  4 0.175 264.3 -0.00064541
  5 0.225 266.84 -0.00651319
  6 0.275 268.3 0.0159012
  7 0.325 268.6 0.00344722
  8 0.375 265.24 0.0328624
  9 0.425 266.76 0.0416265
  10 0.475 268.42 0.0533205
  11 0.525 266.56 0.0725462
  12 0.575 267.56 0.100693
  13 0.625 265.78 0.0564137
  14 0.675 264.14 0.0413803
  15 0.725 265 0.0321346
  16 0.775 262.58 -0.00793853
  17 0.825 263.98 -0.0655846
  18 0.875 265.24 -0.0888193
  19 0.925 262.36 -0.0809775
  20 0.975 268.16 -0.0568523
106000 20 5324.000000000001
  1 0.025 270.56 -0.0483684
  2 0.075 268.66 -0.0755039
  3 0.125 266.32 -0.103894
  4 0.175 268.6 -0.0473504
  5 0.225 268.38 -0.0153275
  6 0.275 268.24 0.0306048
  7 0.325 270.92 0.017444
  8 0.375 268.2 0.0262845
  9 0.425 261.86 0.0493448
  10 0.475 266.12 0.109069
  11 0.525 265.28 0.130008
  12 0.575 265.46 0.0712336
  13 0.625 266.44 0.0218753
  14 0.675 267.94 0.00772027
  15 0.725 263.56 0.0146382
  16 0.775 261.78 -0.00717354
  17 0.825 263.64 -0.022423
  18 0.875 263.58 0.0161261
  19 0.925 262.96 -0.0272791
  20 0.975 265.5 -0.0328116
107000 20 5324
  1 0.025 266.58 -0.0416695
  2 0.075 269.52 -0.055015
  3 0.125 271.14 -0.0235355
  4 0.175 275.14 -0.0489209
  5 0.225 270.94 -0.0428987
  6 0.275 264.72 -0.0461933
  7 0.325 265.78 -0.0353156
  8 0.375 261.62 -0.000300627
  9 0.425 256.92 0.047893
  10 0.475 263.74 0.0699796
  11 0.525 268.24 0.131172
  12 0.575 270.9 0.126318
  13 0.625 266.98 0.0894415
  14 0.675 269.42 -0.000771656
  15 0.725 267.88 -0.0305915
  16 0.775 264.74 0.00922436
  17 0.825 263.34 0.0182525
  18 0.875 264.2 -0.000853147
  19 0.925 261.76 -0.0226118
  20 0.975 260.44 -0.0301982
108000 20 5324.000000000001
  1 0.025 267.5 -0.043005
  2 0.075 268.08 -0.0525032
  3 0.125 267.46 -0.0433092
  4 0.175 272.4 -0.0474143
  5 0.225 271.9 -0.0475801
  6 0.275 263.66 -0.0346906
  7 0.325 272.48 0.0164688
  8 0.375 265.34 -0.00328104
  9 0.425 263.96 0.0124847
  10 0.475 261.82 0.0952858
  11 0.525 264.02 0.119816
  12 0.575 264.9 0.0832352
  13 0.625 260.6 0.0304949
  14 0.675 269.42 0.00170343
  15 0.725 263.42 0.0254633
  16 0.775 264.12 0.0033006
  17 0.825 267.6 -0.0211026
  18 0.875 265.72 0.010703
  19 0.925 262.82 0.0164879
  20 0.975 266.78 -0.00415288
