LAMMPS data file. Generated 2026-01-09 08:54:52.954177
6740 atoms
70 bonds
60 angles
50 dihedrals
0 impropers
4 atom types
1 bond types

0.0 14.769394404940591 xlo xhi
0.0 14.769497835581483 ylo yhi
0.0 43.711310009943 zlo zhi

Masses

1 1.0 
2 1.0 
3 1.0 
4 1.0 

Atoms # molecular

1 1 1  0.000000 0.000000 19.201056
2 2 1  0.000000 0.738502 19.939558
3 3 1  0.738502 0.000000 19.939558
4 4 1  0.738502 0.738502 19.201056
5 5 1  1.477004 0.000000 19.201056
6 6 1  1.477004 0.738502 19.939558
7 7 1  2.215506 0.000000 19.939558
8 8 1  2.215506 0.738502 19.201056
9 9 1  2.954009 0.000000 19.201056
10 10 1  2.954009 0.738502 19.939558
11 11 1  3.692511 0.000000 19.939558
12 12 1  3.692511 0.738502 19.201056
13 13 1  4.431013 0.000000 19.201056
14 14 1  4.431013 0.738502 19.939558
15 15 1  5.169515 0.000000 19.939558
16 16 1  5.169515 0.738502 19.201056
17 17 1  5.908017 0.000000 19.201056
18 18 1  5.908017 0.738502 19.939558
19 19 1  6.646519 0.000000 19.939558
20 20 1  6.646519 0.738502 19.201056
21 21 1  7.385021 0.000000 19.201056
22 22 1  7.385021 0.738502 19.939558
23 23 1  8.123524 0.000000 19.939558
24 24 1  8.123524 0.738502 19.201056
25 25 1  8.862026 0.000000 19.201056
26 26 1  8.862026 0.738502 19.939558
27 27 1  9.600528 0.000000 19.939558
28 28 1  9.600528 0.738502 19.201056
29 29 1  10.339030 0.000000 19.201056
30 30 1  10.339030 0.738502 19.939558
31 31 1  11.077532 0.000000 19.939558
32 32 1  11.077532 0.738502 19.201056
33 33 1  11.816034 0.000000 19.201056
34 34 1  11.816034 0.738502 19.939558
35 35 1  12.554536 0.000000 19.939558
36 36 1  12.554536 0.738502 19.201056
37 37 1  13.293038 0.000000 19.201056
38 38 1  13.293038 0.738502 19.939558
39 39 1  14.031541 0.000000 19.939558
40 40 1  14.031541 0.738502 19.201056
41 41 1  0.000000 1.477004 19.201056
42 42 1  0.000000 2.215506 19.939558
43 43 1  0.738502 1.477004 19.939558
44 44 1  0.738502 2.215506 19.201056
45 45 1  1.477004 1.477004 19.201056
46 46 1  1.477004 2.215506 19.939558
47 47 1  2.215506 1.477004 19.939558
48 48 1  2.215506 2.215506 19.201056
49 49 1  2.954009 1.477004 19.201056
50 50 1  2.954009 2.215506 19.939558
51 51 1  3.692511 1.477004 19.939558
52 52 1  3.692511 2.215506 19.201056
53 53 1  4.431013 1.477004 19.201056
54 54 1  4.431013 2.215506 19.939558
55 55 1  5.169515 1.477004 19.939558
56 56 1  5.169515 2.215506 19.201056
57 57 1  5.908017 1.477004 19.201056
58 58 1  5.908017 2.215506 19.939558
59 59 1  6.646519 1.477004 19.939558
