LAMMPS data file. CGCMM style. atom_style molecular generated by Python script on Sun Dec 07 22:59:33 2025
286 atoms
1 atom types
-60.0 60.0 xlo xhi
-40.0 40.0 ylo yhi
-40.0 40.0 zlo zhi

Masses

1 12.0107

Atoms # atomic

1 1  -4.334430 -1.885398 -9.231950
2 1  -4.676728 -0.707894 -9.941950
3 1  -4.676728 -0.707894 -11.361950
4 1  -4.334430 -1.885398 -12.071950
5 1  -3.699089 -2.934220 -11.361950
6 1  -3.699089 -2.934220 -9.941950
7 1  -2.813593 -3.783201 -9.231950
8 1  -2.813593 -3.783201 -12.071950
9 1  -1.738961 -4.373837 -11.361950
10 1  -1.738961 -4.373837 -9.941950
11 1  -0.547608 -4.666328 -9.231950
12 1  -0.547608 -4.666328 -12.071950
13 1  0.678369 -4.640518 -11.361950
14 1  0.678369 -4.640518 -9.941950
15 1  1.856356 -4.298146 -9.231950
16 1  1.856356 -4.298146 -12.071950
17 1  2.905178 -3.662805 -11.361950
18 1  2.905178 -3.662805 -9.941950
19 1  3.754158 -2.777309 -9.231950
20 1  3.754158 -2.777309 -12.071950
21 1  4.344795 -1.702677 -11.361950
22 1  4.344795 -1.702677 -9.941950
23 1  4.637285 -0.511324 -9.231950
24 1  4.637285 -0.511324 -12.071950
25 1  4.611475 0.714653 -11.361950
26 1  4.611475 0.714653 -9.941950
27 1  4.269103 1.892640 -9.231950
28 1  4.269103 1.892640 -12.071950
29 1  3.633763 2.941462 -11.361950
30 1  3.633763 2.941462 -9.941950
31 1  2.748266 3.790442 -9.231950
32 1  2.748266 3.790442 -12.071950
33 1  1.673634 4.381079 -11.361950
34 1  1.673634 4.381079 -9.941950
35 1  0.482282 4.673569 -9.231950
36 1  0.482282 4.673569 -12.071950
37 1  -0.743695 4.647759 -11.361950
38 1  -0.743695 4.647759 -9.941950
39 1  -1.921682 4.305387 -9.231950
40 1  -1.921682 4.305387 -12.071950
41 1  -2.970504 3.670047 -11.361950
42 1  -2.970504 3.670047 -9.941950
43 1  -3.819485 2.784550 -9.231950
44 1  -3.819485 2.784550 -12.071950
45 1  -4.410121 1.709918 -11.361950
46 1  -4.410121 1.709918 -9.941950
47 1  -3.698937 -2.934411 -7.101527
48 1  -4.334332 -1.885622 -7.811527
49 1  -2.813790 -3.783057 -7.811527
50 1  -1.738734 -4.373926 -7.101527
51 1  -0.547851 -4.666301 -7.811527
52 1  0.678610 -4.640481 -7.101527
53 1  1.856132 -4.298244 -7.811527
54 1  2.905368 -3.662653 -7.101527
55 1  3.754014 -2.777506 -7.811527
56 1  4.344883 -1.702450 -7.101527
57 1  4.637259 -0.511567 -7.811527
58 1  4.611438 0.714894 -7.101527
59 1  4.269201 1.892416 -7.811527
60 1  3.633610 2.941652 -7.101527
61 1  2.748463 3.790298 -7.811527
62 1  1.673407 4.381167 -7.101527
63 1  0.482524 4.673543 -7.811527
64 1  -0.743936 4.647722 -7.101527
65 1  -1.921459 4.305485 -7.811527
66 1  -2.970695 3.669894 -7.101527
67 1  -3.819341 2.784747 -7.811527
68 1  -4.410210 1.709691 -7.101527
69 1  -4.702585 0.518808 -9.231527
70 1  -4.702585 0.518808 -7.811527
71 1  -4.334430 -1.885398 -4.971105
72 1  -4.676728 -0.707894 -5.681105
73 1  -4.676728 -0.707894 -7.101105
74 1  -3.699089 -2.934220 -5.681105
75 1  -2.813593 -3.783201 -4.971105
76 1  -1.738961 -4.373837 -5.681105
77 1  -0.547608 -4.666328 -4.971105
78 1  0.678369 -4.640518 -5.681105
79 1  1.856356 -4.298146 -4.971105
80 1  2.905178 -3.662805 -5.681105
81 1  3.754158 -2.777309 -4.971105
82 1  4.344795 -1.702677 -5.681105
83 1  4.637285 -0.511324 -4.971105
84 1  4.611475 0.714653 -5.681105
85 1  4.269103 1.892640 -4.971105
86 1  3.633763 2.941462 -5.681105
87 1  2.748266 3.790442 -4.971105
88 1  1.673634 4.381079 -5.681105
89 1  0.482282 4.673569 -4.971105
90 1  -0.743695 4.647759 -5.681105
91 1  -1.921682 4.305387 -4.971105
92 1  -2.970504 3.670047 -5.681105
93 1  -3.819485 2.784550 -4.971105
94 1  -4.410121 1.709918 -5.681105
95 1  -3.698937 -2.934411 -2.840682
96 1  -4.334332 -1.885622 -3.550682
97 1  -2.813790 -3.783057 -3.550682
98 1  -1.738734 -4.373926 -2.840682
99 1  -0.547851 -4.666301 -3.550682
100 1  0.678610 -4.640481 -2.840682
101 1  1.856132 -4.298244 -3.550682
102 1  2.905368 -3.662653 -2.840682
103 1  3.754014 -2.777506 -3.550682
104 1  4.344883 -1.702450 -2.840682
105 1  4.637259 -0.511567 -3.550682
106 1  4.611438 0.714894 -2.840682
107 1  4.269201 1.892416 -3.550682
108 1  3.633610 2.941652 -2.840682
109 1  2.748463 3.790298 -3.550682
110 1  1.673407 4.381167 -2.840682
111 1  0.482524 4.673543 -3.550682
112 1  -0.743936 4.647722 -2.840682
113 1  -1.921459 4.305485 -3.550682
114 1  -2.970695 3.669894 -2.840682
115 1  -3.819341 2.784747 -3.550682
116 1  -4.410210 1.709691 -2.840682
117 1  -4.702585 0.518808 -4.970682
118 1  -4.702585 0.518808 -3.550682
119 1  -4.334430 -1.885398 -0.710260
120 1  -4.676728 -0.707894 -1.420260
121 1  -4.676728 -0.707894 -2.840260
122 1  -3.699089 -2.934220 -1.420260
123 1  -2.813593 -3.783201 -0.710260
124 1  -1.738961 -4.373837 -1.420260
125 1  -0.547608 -4.666328 -0.710260
126 1  0.678369 -4.640518 -1.420260
127 1  1.856356 -4.298146 -0.710260
128 1  2.905178 -3.662805 -1.420260
129 1  3.754158 -2.777309 -0.710260
130 1  4.344795 -1.702677 -1.420260
131 1  4.637285 -0.511324 -0.710260
132 1  4.611475 0.714653 -1.420260
133 1  4.269103 1.892640 -0.710260
134 1  3.633763 2.941462 -1.420260
135 1  2.748266 3.790442 -0.710260
136 1  1.673634 4.381079 -1.420260
